addr,vote_option,myBank
cosmos10jsw8uvkajrd299k5k3y9s3kxlfsj0skraq686,VOTE_OPTION_YES,308.064017
cosmos17p8jkv2nj80aekgzpkgyfcurk00pn4697k2zzd,VOTE_OPTION_YES,307.830716
cosmos1fsczk3dj3eqp62qeeg4jcwvg939zwa67vkk64w,VOTE_OPTION_NO,305.260434
cosmos1pv7pzslmhrwz3406zfjjwzfgjedeut9urgtk8f,VOTE_OPTION_NO,300.782212
cosmos1d0jqveskm8cnjar0cjmz0qan7h4pkwm98aa6av,VOTE_OPTION_NO,300.120971
cosmos1wgvyrywj598yjnr0lza3nwfdts3c9drpm53kuk,VOTE_OPTION_ABSTAIN,300.069145
cosmos1jy3ygr6kldcyqcr2yk9z5hen5lgj5827ypqk8q,VOTE_OPTION_NO,297.180173
cosmos15ws9f4w5ggj064hguhkyaq8kg9vru5gwvfjckd,VOTE_OPTION_NO,293.938511
cosmos1se02n5r4uv8fxzlp2edy9y9jpk6dmd3rju9hk3,VOTE_OPTION_NO,286.517944
cosmos1vqp3s0muqq0045j6tudnsm6sx7lsr5x60ltvhf,VOTE_OPTION_NO,285.30699
cosmos1rrrmtxt8gxaxt5ffrvnusm7hrq0ul2z2s5skj5,VOTE_OPTION_NO,285.218997
cosmos1m6c3svxkajv80m9svaqdnm5ph0t07xkf73x6np,VOTE_OPTION_NO,284.30139
cosmos1mnyp4cvhfmw68xqttaqah78vmntu2hjkjruhkz,VOTE_OPTION_NO,283.069611
cosmos1pskalk0vu6w0dulvnd3twdynql37smpd2vn2c8,VOTE_OPTION_NO,281.061321
cosmos1qyqpyd5kaz4f3np33f696zkn2vfd87apzsdnpe,VOTE_OPTION_YES,276.509365
cosmos1sulqh6cpj5vve533e5d9clysgajh5qps2n8yen,VOTE_OPTION_ABSTAIN,274.390999
cosmos158gnjm0eqld7qpe03jzxk9atnmw0yegpjz72v0,VOTE_OPTION_YES,274.299623
cosmos1xnzglsz56xfxfusy0knuzznjc34jr7d0d0fdw8,VOTE_OPTION_NO,271.847911
cosmos1qr6gggq8953qetshu7l03m85cmdlet8l2aglct,VOTE_OPTION_YES,270.557028
cosmos1cmmp0klv4eff5egth08dvdjes2zye89xe4vr85,VOTE_OPTION_YES,268.962346
cosmos166hnu9h3cta8j0099acftqq4a3wc46q2v5y40l,VOTE_OPTION_ABSTAIN,257.58486
cosmos1kn0sxuzvhuhx6xvfm3vzwn4rsdrjcvmudjhude,VOTE_OPTION_ABSTAIN,256.599716
cosmos13vwzpmmada8aangxtjyfschf04fh7mfjz5kt3a,VOTE_OPTION_NO,256.155524
cosmos15yy8rxvkyeg0zhr768p5t25esmsrddp5sxr5sa,VOTE_OPTION_NO,252.660079
cosmos122taa46qrdv22ryk6v9wvs285y24q9z2ydf4k4,VOTE_OPTION_YES,243.904401
cosmos18lnd2qfx3recvrmk865twk32jnllgacrcjuf2x,VOTE_OPTION_NO,238.863079
cosmos1xtmqq0yt9jc6udnl9da9drj5ph7trdrcuacngz,VOTE_OPTION_YES,238.609478
cosmos1hgqvm0eyvqn9t892syzfc9s7z8durt4esv2r3j,VOTE_OPTION_YES,235.591727
cosmos1tshwngxafaaetznslcppa8exqc0zhfr4yag57w,VOTE_OPTION_NO,234.020532
cosmos166qjrwnyrsdwch6umtuq2cvf7qs0e887gt70vq,VOTE_OPTION_NO,233.08018
cosmos1cl3swpzudwjpwmswcjldfz8gt2p3zy4wtl7esj,VOTE_OPTION_YES,223.902254
cosmos1enqzp9zv67jryk84v2d5fc7g6ykuzlay43jjk5,VOTE_OPTION_NO,220.527127
cosmos1zjdjtuu9fvfarmph2hacxgn87qg3dudwt902x3,VOTE_OPTION_YES,219.330383
cosmos19qc25l2nwztml9nvhqpg7y55420uvg59yur42v,VOTE_OPTION_ABSTAIN,218.557062
cosmos1uylh8kd8vqc09f35eepplcsux6decgxkccm9e5,VOTE_OPTION_NO,211.246066
cosmos1fm60sc0xd64rsq8l89pf6hvtwwuywhy0w9287s,VOTE_OPTION_NO_WITH_VETO,209.225576
cosmos1kfc5gyquzwug4hg9ykeavauwpc2j5q0c3fj9t0,VOTE_OPTION_NO,208.368213
cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,VOTE_OPTION_NO_WITH_VETO,207.815407
cosmos1h4t209tuy4remh6f234uyd4syvpqykahrepcfj,VOTE_OPTION_NO,207.074183
cosmos13clq4rs47n0305wcg6dyau3rf7lthx7zzjquh5,VOTE_OPTION_NO,206.074401
cosmos1jc79ds5j3fep07e2dvpmlyqlxy8ehm6qju9apf,VOTE_OPTION_NO,204.840686
cosmos1kp22rcpkavm47tt7xahnjjxf4tjdlrf0z2zgst,VOTE_OPTION_YES,204.603754
cosmos1370fn26kj4r7780clfsuqxg5xrw2jf6632mat8,VOTE_OPTION_NO,204.286665
cosmos1st9y369mkl6ymwftzyms60s9j8l92434e2m99t,VOTE_OPTION_NO,203.494254
