addr,vote_option,myStake
cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,VOTE_OPTION_ABSTAIN,20889.101675
cosmos10rsp2tdhk4pst94qx84pvgrl08mkdf62g56qh9,VOTE_OPTION_NO_WITH_VETO,20624.0
cosmos1nn2vd75r752x9vwm38ldy0uxyj6rqvlamlrget,VOTE_OPTION_NO,20200.11668
cosmos1yuqyqyyvemh8zmler9la3fntvh3dqw76d8smrg,VOTE_OPTION_YES,20002.734223
cosmos1gfwqwjsw8ny8298d6lvx0g6um4x6q8qnyr3ppl,VOTE_OPTION_NO_WITH_VETO,20001.000087
cosmos1wtv0kp6ydt03edd8kyr5arr4f3yc52vp5g7na0,VOTE_OPTION_ABSTAIN,20000.0
cosmos14kn0kk33szpwus9nh8n87fjel8djx0y0mmswhp,VOTE_OPTION_NO,20000.0
cosmos1jaq6rn09s4y8r4dmhwgtztecyd5w7tct02du28,VOTE_OPTION_NO,19703.457905000003
cosmos1mh5sy8y4apvetwpkrkrvj8rst9wtff3wkagr5r,VOTE_OPTION_ABSTAIN,19409.994341999998
cosmos179d2p3zp0f6ckvhy5e9fh0ldfux5zsddqsaz3m,VOTE_OPTION_YES,18955.144784999997
cosmos149yvqwvtccpvye28hvl896yuggm9gr70349jsp,VOTE_OPTION_NO,18278.514045
cosmos1sjvnwmvqccvl7cex837t3ayscpj6zqycr29xt5,VOTE_OPTION_NO,18153.330623
cosmos15w48fcnndw0ygz6due737udnkc9cfeffpdf65x,VOTE_OPTION_NO_WITH_VETO,18001.290166
cosmos1ax32rmtyraxnf76w3tcx6pmt7psdfgfdrmkpnd,VOTE_OPTION_NO,18000.280285
cosmos166jxmsf24hgdn9xcjanemwvkf3d6e0gmcnxfrm,VOTE_OPTION_NO,17851.076685
cosmos12dnv539p9umh6ze2jpn8n57frlsads3d6yujz0,VOTE_OPTION_ABSTAIN,17629.428258
cosmos1cy7jye9jkg6k4h9wcurdcx7q4ld03m4853my3u,VOTE_OPTION_ABSTAIN,17504.424431
cosmos17vv33gl7esrnulrhz943rrchs623g0aac2m756,VOTE_OPTION_NO_WITH_VETO,17316.550517
cosmos10n4lwkks9ecu6flr77erpje8rjeg5dfnz4mlte,VOTE_OPTION_ABSTAIN,17179.600000000002
cosmos15snxw5v4amsedg34wqnp6zwwayzew4qx2hxjxg,VOTE_OPTION_ABSTAIN,17170.883145
cosmos1ypakuerp2fz5resn74cngarknzlgj87sx3ph4k,VOTE_OPTION_ABSTAIN,17152.607344
cosmos1a2z07pjj95syq2xqxr635qtlu8qpacx87prf8d,VOTE_OPTION_ABSTAIN,16879.614233
cosmos1craaul8czwtwndm76fdfxh7ulja2u4nr6uyty4,VOTE_OPTION_YES,16849.697296
cosmos10wzd0drgcpudme039j22h70dnayra75a2qatxv,VOTE_OPTION_YES,16376.302607
cosmos1p4ks5aktxq48yqmpzh8e90z6suan8zwy463ypu,VOTE_OPTION_ABSTAIN,16029.290103
cosmos1c9r0dhtre0afhvvquj05e5608yhkzeat59wlwp,VOTE_OPTION_NO_WITH_VETO,16006.0
cosmos1peq96jqmp9anxft7plu9qp4cpz4yr2k2zc28kk,VOTE_OPTION_ABSTAIN,15851.475955
cosmos1jxv0u20scum4trha72c7ltfgfqef6nscj25050,VOTE_OPTION_ABSTAIN,15600.0
cosmos1npevvs7tc00sqmrg0gx04830rmhvmda6gg3pfj,VOTE_OPTION_NO,15323.708168000001
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,VOTE_OPTION_ABSTAIN,15269.088213
cosmos1wvycxc9zgdmv49hz7edwqg98ayy03882k4thcj,VOTE_OPTION_NO,15197.828688
cosmos1kmqctfn8nc7etjsyplfq8g559lwrfrwmvjzv89,VOTE_OPTION_NO,15080.459944
cosmos17740gzwqt6xwkgchq4l642csjv3kv92evmh7ac,VOTE_OPTION_NO_WITH_VETO,14980.965508
cosmos17kpdmsnf9xatuenm4jcdselh0gnsfg9jp2tepz,VOTE_OPTION_NO_WITH_VETO,14583.85179
cosmos1kx02jwsul38ydx0luc2xkjelyvez49ty9gv2ha,VOTE_OPTION_NO,14453.999999000001
cosmos17zrcp2cdyarcmrc85h0458mmp0p0xzlyxqtefv,VOTE_OPTION_NO,14398.198754
cosmos1hn85yq2kfxjwfnfz3dt67yueaygx960kfhjp6w,VOTE_OPTION_NO,14277.305885
cosmos1cdrawpdr0yeaur7puleg0t3lxfcqvhtwv9yh84,VOTE_OPTION_NO,14265.337541
cosmos13kc7vs947nf4aj63yzcc9a8uwmymtgscxmln7p,VOTE_OPTION_NO,14104.80301
cosmos1v3um4h8ljp26frtjczzd0jse8gqhr82vw4lt4f,VOTE_OPTION_YES,14054.493876
cosmos13gd97ke6erejqk2p050xkpc63jhtujreyf0fzn,VOTE_OPTION_ABSTAIN,13945.334752
cosmos150j9auccvjdsquttx0qhawvux2m67fcxw49hy9,VOTE_OPTION_NO_WITH_VETO,13218.344309999999
